site,Level_0,lat,lon,elevation
vrs-13 (vostok stack),1,-78.47,106.83,3488.0
B31 3.43W,1,-75.58,-3.43,2680.0
B32 0.00667E,1,-75.0,-0.01,2892.0
B33 6.4983E,1,-75.17,6.5,3160.0
FB96DML01,1,-74.8583,-2.55,2817.0
FB97DML04,1,-74.4094,7.2181,3161.0
FB97DML06,1,-75.0011,8.0089,3246.0
FB97DML07,1,-74.5914,-3.4394,2669.0
FB97DML09,1,-75.9333,7.2217,3145.0
FB97DML10,1,-75.2167,11.35,3349.0
FB9804,1,-75.250333,-6.0,2630.0
FB9805,1,-75.167333,-0.995,2840.0
FB9807,1,-74.997,0.036167,2880.0
FB9808,1,-74.750667,0.999833,2860.0
FB9809,1,-74.499167,1.960833,2843.0
FB9810,1,-74.667167,4.001667,2980.0
FB9811,1,-75.084,6.5,3160.0
FB9812,1,-75.250833,6.501667,3160.0
FB9813,1,-75.1669,5.0006,3100.0
FB9814,1,-75.083667,2.501,2970.0
FB9815,1,-74.9597,-1.5019,2840.0
FB9816,1,-75.0,-4.505,2740.0
FB9817,1,-75.000667,-6.498333,2680.0
SPOLE 0EW,1,-90.0,0.0,2850.0
D66 136.9352E,0,-71.71,145.26,2143.0
LGB65 77.07472E,1,-68.94,136.94,2333.0
GV2 145.2631 E,1,-71.85,77.92,1850.0
ITASE-02-7,1,-88.9989,59.9744,3000.0
ITASE-02-4,1,-86.5,-107.99,2586.0
Law Dome (2015),2,-66.77,112.807,1370.0
200 km,0,-68.25,94.08,1990.0
BerknerR25 45.716W,1,-79.57,-45.72,890.0
Gomez,2,-73.59,-70.36,1400.0
"JRI (Aristarain et al., 2004)",2,-64.22,-57.68,1640.0
Dyer Plateau,2,-70.68,-64.87,2002.0
Ferrigno,0,-74.57,-86.9,1354.0
Bryan coast,2,-74.496,-81.678,1177.0
DIV2010,2,-76.77,-101.74,1330.0
THW2010,0,-76.95,-121.22,2020.0
WD05A 112.125W,0,-79.46,-112.09,1806.0
WD05Q 112.086W,0,-79.46,-112.09,1759.0
WAIS 2014,0,-79.46,-112.09,1759.0
SDM-94,1,-81.648077,-148.79,620.0
UP-C,1,-82.43911,-135.97195,525.0
RIDS-A,0,-78.73,-116.33,1740.0
RIDS-C,1,-80.01,-119.43,1530.0
ITASE-99-1,1,-80.62,-122.63,1350.0
ITASE-00-1,0,-79.3838,-111.24,1791.0
ITASE-00-3,2,-78.433,-111.9172,1742.0
ITASE-00-4,0,-78.0829,-120.0764,1697.0
ITASE-00-5,1,-77.683,-123.995,1828.0
ITASE-01-1,0,-79.1597,-104.9672,1842.0
ITASE-01-2,2,-82.001,-110.0082,1746.0
ITASE-01-3,0,-78.1201,-95.6463,1620.0
ITASE-01-4,0,-77.6116,-92.2483,1483.0
ITASE-01-5,2,-77.0593,-89.1376,1239.0
Hercules Neve 165.4 E,1,-73.1,165.4,2960.0
Talos Dome 159.07575E,1,-72.8,159.06,2316.0
GV7 158.8624E,0,-70.68,158.86,1947.0
GV5 158.5369 E,1,-71.89,158.54,2184.0
RICE,0,-79.36,161.64,560.0
Fimbulisen s100,0,-70.2439,4.8,48.0
Ekstroem B04,0,-70.6167,-8.3667,28.0
FB9802,1,-74.2083,-9.7472,1439.0
Derwael Ice Rise,2,-69.2,41.08,1214.0
H72 41.08333E,0,-70.25,26.34,450.0
