site,Level_0
vrs-13 (vostok stack),1
B32 0.00667E,2
FB96DML01,1
FB9804,0
FB9805,2
FB9807,0
FB9808,2
FB9809,2
FB9810,0
FB9811,0
FB9814,2
FB9815,2
FB9816,2
FB9817,0
SPOLE 0EW,0
D66 136.9352E,0
LGB65 77.07472E,0
GV2 145.2631 E,0
ITASE-02-7,0
ITASE-02-4,1
Law Dome (2015),2
BerknerR25 45.716W,2
Gomez,2
"JRI (Aristarain et al., 2004)",2
Bruce Plateau,2
Ferrigno,2
Bryan coast,2
DIV2010,1
THW2010,1
WD05A 112.125W,1
WD05Q 112.086W,1
WAIS 2014,1
SDM-94,2
UP-C,0
RIDS-A,1
ITASE-99-1,2
ITASE-00-1,1
ITASE-00-3,1
ITASE-00-4,1
ITASE-00-5,2
ITASE-01-1,1
ITASE-01-2,1
ITASE-01-3,1
ITASE-01-4,0
ITASE-01-5,1
Hercules Neve 165.4 E,2
Talos Dome 159.07575E,2
GV7 158.8624E,1
GV5 158.5369 E,0
RICE,1
Fimbulisen s100,0
FB9802,0
Derwael Ice Rise,2
H72 41.08333E,0
