site,Level_0
B33 6.4983E,0
Bruce Plateau,0
DIV2010,2
DML07,0
FB97DML05,0
FB9807,1
FB9809,2
FB9814,1
Ferrigno,0
Fimbulisen s100,0
Gomez,0
ITASE-00-1,2
ITASE-00-3,2
ITASE-00-4,2
ITASE-00-5,2
ITASE-01-1,2
ITASE-01-2,0
ITASE-01-3,2
ITASE-01-4,2
ITASE-01-5,1
ITASE-02-1,2
ITASE-02-4,0
ITASE-02-7,0
Jurassic,0
Law Dome (2015),1
Mount Johns,1
NUS07-1,1
NUS07-2,0
NUS07-7,1
NUS08-4,1
NUS08-5,0
NUS08-7,1
Palmer,0
RIDS-A,2
Rendezvous,0
SDM-94,1
SP01,1
SP04C5,1
SPOLE 0EW,0
THW2010,2
UP-C,1
WD05A 112.125W,2
WDC05A,2
