site,Level_0,lat,lon,elevation
B33 6.4983E,1,-75.17,6.5,3160.0
DIV2010_chem,2,-77.95,-95.96,1329.0
DML07,1,-75.58,3.43,2680.0
FB97DML05,1,-75.0039,0.0117,2882.0
FB9807,1,-74.997,0.036167,2880.0
FB9809,1,-74.499167,1.960833,2843.0
FB9814,1,-75.083667,2.501,2970.0
ITASE-00-1,0,-79.3838,-111.24,1791.0
ITASE-00-3_chem,2,-78.43,-115.917,1742.0
ITASE-00-4,0,-78.0829,-120.0764,1697.0
ITASE-00-5,0,-77.683,-123.995,1828.0
ITASE-01-1,0,-79.1597,-104.9672,1842.0
ITASE-01-2,0,-82.001,-110.0082,1746.0
ITASE-01-2_chem,2,-77.84,-102.91,1336.0
ITASE-01-3,0,-78.1201,-95.6463,1620.0
ITASE-01-4,0,-77.6116,-92.2483,1483.0
ITASE-01-5,2,-77.0593,-89.1376,1239.0
ITASE-02-4,1,-86.5,-107.99,2586.0
ITASE-02-6,1,-89.93,144.3938,2808.0
ITASE-02-7,1,-88.9989,59.9744,3000.0
ITASE-99-1,0,-80.62,-122.63,1350.0
Mount Johns,1,-79.92,-94.388361,2100.0
NUS07-1,1,-73.72,7.98,3174.0
NUS07-2,1,-76.07,22.47,3582.0
NUS07-5,1,-78.65,35.63,3619.0
NUS07-7,1,-82.07,54.88,3725.0
NUS08-4,1,-82.82,18.9,2552.0
NUS08-5,1,-82.63,17.87,2554.0
NUS08-7,1,-74.88,1.6,2700.0
Palmer,2,-73.86,-65.46,1897.0
RIDS-A,0,-78.73,-116.33,1740.0
RIDS-C,1,-80.01,-119.43,1530.0
SDM-94,2,-81.648077,-148.79,620.0
SP01,1,-89.95,17.67,2835.0
SP04C5,1,-89.95,17.67,2835.0
SP04C6,1,-89.95,17.67,2835.0
SPOLE 0EW,1,-90.0,0.0,2850.0
THW2010,0,-76.95,-121.22,2020.0
Talos Dome 159.07575E,1,-72.8,159.06,2316.0
UP-C,2,-82.43911,-135.97195,525.0
WD05A 112.125W,0,-79.46,-112.09,1806.0
WDC05A,0,-79.46,-112.225,1759.0
cDML,2,-71.33,11.583,1300.0
