site,Level_0
B33 6.4983E,2
Bruce Plateau,1
DIV2010,1
DML07,2
FB97DML05,2
FB9807,2
FB9809,2
FB9814,2
Ferrigno,1
Fimbulisen s100,0
Gomez,1
ITASE-00-1,1
ITASE-00-3,1
ITASE-00-4,1
ITASE-00-5,1
ITASE-01-1,1
ITASE-01-2,2
ITASE-01-3,1
ITASE-01-4,1
ITASE-01-5,2
ITASE-02-1,1
ITASE-02-4,1
ITASE-02-7,0
Jurassic,1
Law Dome (2015),0
Mount Johns,2
NUS07-1,0
NUS07-2,2
NUS07-7,0
NUS08-4,0
NUS08-5,2
NUS08-7,0
Palmer,2
RIDS-A,1
Rendezvous,1
SDM-94,1
SP01,0
SP04C5,0
SPOLE 0EW,1
THW2010,1
UP-C,0
WD05A 112.125W,1
WDC05A,1
