site,Level_0,Level_1,lat,lon,elevation
FB9813,0,0,-75.1669,5.0006,3100.0
FB9802,1,1,-74.2083,-9.7472,1439.0
Siple Station,2,1,-75.92,-84.25,1054.0
FB96DML01,3,0,-74.8583,-2.55,2817.0
FB97DML04,0,0,-74.4094,7.2181,3161.0
FB97DML06,0,0,-75.0011,8.0089,3246.0
FB97DML09,4,0,-75.9333,7.2217,3145.0
FB97DML10,4,0,-75.2167,11.35,3349.0
Hercules Neve 165.4 E,1,1,-73.1,165.4,2960.0
Fimbulisen s100,5,2,-70.2439,4.8,48.0
Ekstroem B04,6,2,-70.6167,-8.3667,28.0
Plateau Remote,4,0,-84.0,43.0,3330.0
Bruce Plateau,6,2,-66.038,-64.078,1975.5
ITASE-01-2,2,1,-82.001,-110.0082,1746.0
ITASE-01-5,1,1,-77.0593,-89.1376,1239.0
Law Dome (2015),5,2,-66.77,112.807,1370.0
ITASE-00-1,1,1,-79.3838,-111.24,1791.0
WD05A 112.125W,1,1,-79.46,-112.09,1806.0
ITASE-02-4,3,0,-86.5,-107.99,2586.0
