site,Level_0,lat,lon,elevation
FB9813,1,-75.1669,5.0006,3100.0
FB9802,2,-74.2083,-9.7472,1439.0
Siple Station,2,-75.92,-84.25,1054.0
FB96DML01,1,-74.8583,-2.55,2817.0
FB97DML04,1,-74.4094,7.2181,3161.0
FB97DML06,1,-75.0011,8.0089,3246.0
FB97DML09,1,-75.9333,7.2217,3145.0
FB97DML10,1,-75.2167,11.35,3349.0
Hercules Neve 165.4 E,2,-73.1,165.4,2960.0
Fimbulisen s100,0,-70.2439,4.8,48.0
Ekstroem B04,0,-70.6167,-8.3667,28.0
Plateau Remote,1,-84.0,43.0,3330.0
Bruce Plateau,0,-66.038,-64.078,1975.5
ITASE-01-2,2,-82.001,-110.0082,1746.0
ITASE-01-5,2,-77.0593,-89.1376,1239.0
Law Dome (2015),0,-66.77,112.807,1370.0
ITASE-00-1,2,-79.3838,-111.24,1791.0
WD05A 112.125W,2,-79.46,-112.09,1806.0
ITASE-02-4,1,-86.5,-107.99,2586.0
