year,DateTime
0,2016-12-02
1,2016-12-03
2,2016-12-04
3,2016-12-05
4,2016-12-06
5,2016-12-07
6,2016-12-08
7,2016-12-09
8,2016-12-10
9,2016-12-11
10,2016-12-12
11,2016-12-13
12,2016-12-14
13,2016-12-15
14,2016-12-16
15,2016-12-17
16,2016-12-18
17,2016-12-19
18,2016-12-20
19,2016-12-21
20,2016-12-22
21,2016-12-23
22,2016-12-24
23,2016-12-25
24,2016-12-26
25,2016-12-27
26,2016-12-28
27,2016-12-29
28,2016-12-30
29,2016-12-31
30,2017-01-01
31,2017-01-02
32,2017-01-03
33,2017-01-04
34,2017-01-05
35,2017-01-06
36,2017-01-07
37,2017-01-08
38,2017-01-09
39,2017-01-10
40,2017-01-11
41,2017-01-12
42,2017-01-13
43,2017-01-14
44,2017-01-15
45,2017-01-16
46,2017-01-17
47,2017-01-18
48,2017-01-19
49,2017-01-20
50,2017-01-21
51,2017-01-22
52,2017-01-23
53,2017-01-24
54,2017-01-25
55,2017-01-26
56,2017-01-27
57,2017-01-28
58,2017-01-29
59,2017-01-30
60,2017-01-31
61,2017-02-01
62,2017-02-02
63,2017-02-03
64,2017-02-04
65,2017-02-05
66,2017-02-06
67,2017-02-07
68,2017-02-08
69,2017-02-09
70,2017-02-10
71,2017-02-11
72,2017-02-12
73,2017-02-13
74,2017-02-14
75,2017-02-15
76,2017-02-16
77,2017-02-17
78,2017-02-18
79,2017-02-19
80,2017-02-20
81,2017-02-21
82,2017-02-22
83,2017-02-23
84,2017-02-24
85,2017-02-25
86,2017-02-26
87,2017-02-27
88,2017-02-28
89,2017-03-01
90,2017-03-02
91,2017-03-03
92,2017-03-04
93,2017-03-05
94,2017-03-06
95,2017-03-07
96,2017-03-08
97,2017-03-09
98,2017-03-10
99,2017-03-11
100,2017-03-12
101,2017-03-13
102,2017-03-14
103,2017-03-15
104,2017-03-16
105,2017-03-17
106,2017-03-18
107,2017-03-19
108,2017-03-20
109,2017-03-21
110,2017-03-22
111,2017-03-23
112,2017-03-24
113,2017-03-25
114,2017-03-26
115,2017-03-27
116,2017-03-28
117,2017-03-29
118,2017-03-30
119,2017-03-31
120,2017-04-01
121,2017-04-02
122,2017-04-03
123,2017-04-04
124,2017-04-05
125,2017-04-06
126,2017-04-07
127,2017-04-08
128,2017-04-09
129,2017-04-10
130,2017-04-11
131,2017-04-12
132,2017-04-13
133,2017-04-14
134,2017-04-15
135,2017-04-16
136,2017-04-17
137,2017-04-18
138,2017-04-19
139,2017-04-20
140,2017-04-21
141,2017-04-22
142,2017-04-23
143,2017-04-24
144,2017-04-25
145,2017-04-26
146,2017-04-27
147,2017-04-28
148,2017-04-29
149,2017-04-30
150,2017-05-01
151,2017-05-02
152,2017-05-03
153,2017-05-04
154,2017-05-05
155,2017-05-06
156,2017-05-07
157,2017-05-08
158,2017-05-09
159,2017-05-10
160,2017-05-11
161,2017-05-12
162,2017-05-13
163,2017-05-14
164,2017-05-15
165,2017-05-16
166,2017-05-17
167,2017-05-18
168,2017-05-19
169,2017-05-20
170,2017-05-21
171,2017-05-22
172,2017-05-23
173,2017-05-24
174,2017-05-25
175,2017-05-26
176,2017-05-27
177,2017-05-28
178,2017-05-29
179,2017-05-30
180,2017-05-31
181,2017-06-01
182,2017-06-02
183,2017-06-03
184,2017-06-04
185,2017-06-05
186,2017-06-06
187,2017-06-07
188,2017-06-08
189,2017-06-09
190,2017-06-10
191,2017-06-11
192,2017-06-12
193,2017-06-13
194,2017-06-14
195,2017-06-15
196,2017-06-16
197,2017-06-17
198,2017-06-18
199,2017-06-19
200,2017-06-20
201,2017-06-21
202,2017-06-22
203,2017-06-23
204,2017-06-24
205,2017-06-25
206,2017-06-26
207,2017-06-27
208,2017-06-28
209,2017-06-29
210,2017-06-30
211,2017-07-01
212,2017-07-02
213,2017-07-03
214,2017-07-04
215,2017-07-05
216,2017-07-06
217,2017-07-07
218,2017-07-08
219,2017-07-09
220,2017-07-10
221,2017-07-11
222,2017-07-12
223,2017-07-13
224,2017-07-14
225,2017-07-15
226,2017-07-16
227,2017-07-17
228,2017-07-18
229,2017-07-19
230,2017-07-20
231,2017-07-21
232,2017-07-22
