year,200 km,B31 3.43W,B32 0.00667E,B33 6.4983E,BerknerR25 45.716W,Bryan coast,D66 136.9352E,DIV2010,Derwael Ice Rise,Dyer Plateau,FB9802,FB9804,FB9805,FB9807,FB9808,FB9809,FB9810,FB9811,FB9812,FB9813,FB9814,FB9815,FB9816,FB9817,Ferrigno,Fimbulisen s100,GV2 145.2631 E,GV5 158.5369 E,GV7 158.8624E,Gomez,H72 41.08333E,Hercules Neve 165.4 E,ITASE-00-1,ITASE-00-3,ITASE-00-4,ITASE-00-5,ITASE-01-1,ITASE-01-2,ITASE-01-3,ITASE-01-4,ITASE-01-5,ITASE-02-4,ITASE-99-1,"JRI (Aristarain et al., 2004)",LGB65 77.07472E,Law Dome (2015),RICE,RIDS-A,SPOLE 0EW,THW2010,Talos Dome 159.07575E,UP-C,WAIS 2014,WD05A 112.125W,WD05Q 112.086W,vrs-13 (vostok stack)
1848,314.795576573702,76.5,55.9,36.5,118.6,353.814811976054,201.9048,401.1,392.915944637549,247.0,139.0,49.0,39.9,59.3,74.3,108.7,89.0,52.5,46.9,45.1,47.2,76.7,46.2,43.8,414.491230961141,254.0,118.35931,82.3209999999972,296.853688573434,747.526234041028,248.838232720272,133.38,219.40172,363.926946765219,223.939049,167.529261,325.631231862008,541.841185,335.914952,286.449214891892,394.813325,76.4576053999992,73.8468560391776,398.69,113.0,853.0,179.752797328393,231.530399999998,87.8363148000003,351.1,108.900000000001,114.092,251.861200547438,249.0,211.0,33.950263752
1849,256.427710017237,77.4,58.3,39.1,169.6,474.565487138154,201.9048,234.6,392.32513088776,295.000000000002,139.0,46.2,58.3,70.5,56.9,111.4,79.9,71.4,37.2,34.3,74.8,87.3,16.3,55.4,261.486600928384,296.0,95.74845,168.08399999999,296.853688573434,747.526234041028,414.184626826827,204.91,226.895283,363.926946765219,167.714887,134.680776,325.631231862008,541.841185,335.914952,286.449214891892,519.754698,76.3597876428563,92.2501312342345,618.077,169.0,633.0,311.839706219306,261.075600000003,89.1339674500009,351.1,73.1999999999994,114.092,173.96881551147,152.0,187.0,22.8993956295
1850,156.979571151808,51.9,75.1,60.1,117.5,403.343054389076,201.9048,362.7,439.197812287947,338.999999999999,139.0,29.8,42.2,56.3,68.1,33.1,65.0,68.4,26.0,65.9,38.8,46.1,62.3,52.4,282.997079318724,168.0,102.13168,126.062999999992,296.853688573434,747.526234041028,330.996490225682,164.519,226.204048,363.926946765219,186.050634,162.022125,325.631231862008,541.841185,335.914952,286.449214891892,442.552304,137.201118000001,92.1851991301402,555.884,104.0,535.0,196.305922479342,197.798399999999,73.9952678600007,351.1,109.8,114.092,211.23741056616,220.0,202.0,27.8716024035
1851,428.901796996611,43.6,60.4,61.5,78.6,433.053799007776,201.9048,413.9,343.586613848616,325.000000000003,139.0,46.1,60.4,44.9,65.1,75.1,67.8,32.8,35.1,21.1,41.5,62.0,32.4,34.9,260.973839525382,323.0,102.13168,125.829999999996,296.853688573434,747.526234041028,248.048960341929,114.61,244.807488,363.926946765219,196.273963,193.615807,325.631231862008,541.841185,335.914952,286.449214891892,376.379321,91.3108840142869,73.6936165682518,467.669,156.0,545.0,158.823972094839,248.705999999999,104.602514279999,351.1,111.300000000001,114.092,268.634628773915,189.0,227.0,4.303419225
1852,189.315586205026,59.1,46.4,44.6,69.1,301.775969280539,201.9048,209.8,498.316372403113,219.999999999999,139.0,40.8,44.4,64.5,79.3,72.0,61.9,51.9,30.5,42.1,66.4,34.9,29.7,37.8,304.150397891136,438.0,114.64422,97.0560000000023,296.853688573434,747.526234041028,264.358948658115,86.484,172.835036,363.926946765219,126.313763,96.667525,325.631231862008,541.841185,335.914952,286.449214891892,543.115561,76.068004257142,110.388484328797,707.507,176.0,699.0,196.046001305576,187.1532,72.5049439000001,351.1,95.9999999999991,114.092,202.091401100355,181.0,163.0,25.892022976875
1853,328.862747235787,54.7,51.3,28.3,104.7,492.345736176251,201.9048,424.8,389.683921768147,339.999999999996,139.0,38.1,59.8,53.1,68.1,51.0,79.5,51.9,47.6,42.0,36.0,50.8,37.8,34.8,325.496569172007,261.0,95.11365,111.210000000003,296.853688573434,747.526234041028,255.884231751732,180.175,213.253373,363.926946765219,224.153239,128.777318,325.631231862008,541.841185,335.914952,286.449214891892,346.901279,121.679324100001,91.8475530835862,536.582,104.0,653.0,223.874025970941,241.728000000001,80.383251479999,351.1,90.0,114.092,214.406027473072,201.0,181.0,24.88950056525
1854,205.104471976468,46.4,48.5,28.8,66.4,391.316274603019,201.9048,441.8,406.309115326701,393.000000000001,139.0,49.0,46.8,47.5,73.8,71.9,64.7,62.7,48.3,60.3,63.6,21.3,59.3,43.5,411.71849166813,528.0,76.09092,170.214000000008,296.853688573434,747.526234041028,140.259213366979,64.206,212.999924,363.926946765219,195.447248,201.292993,325.631231862008,541.841185,335.914952,286.449214891892,437.862814,105.464021522077,110.045643282336,698.342,85.0,818.0,249.81081642341,290.736800000002,56.2865511100007,351.1,90.0,114.092,332.725018001893,211.0,221.0,25.985754327125
1855,221.224430175352,55.2,46.1,37.7,91.5,370.806561505015,201.9048,431.8,427.183064004319,315.000000000005,139.0,65.4,33.8,81.2,76.6,71.8,58.8,27.3,28.9,31.4,38.8,40.0,24.4,66.5,216.460811055192,502.0,126.8182,84.0419999999949,250.780328049405,747.526234041028,346.128238356768,92.742,249.046093,363.926946765219,111.370179,166.455972,325.631231862008,541.841185,335.914952,286.449214891892,361.67492,56.9083988636358,102.323592787942,555.255,104.0,708.0,147.949829898252,146.892499999998,68.8146771899986,351.1,72.0000000000005,114.092,160.649291806045,176.0,202.0,16.3476757285
1856,433.901598053217,48.0,51.0,60.2,56.4,430.409689099744,201.9048,284.3,387.739899669933,308.0,139.0,71.3,33.8,73.1,59.5,71.7,146.9,62.6,22.4,49.6,69.3,21.3,43.5,63.4,302.73868121342,254.0,95.11365,168.08399999999,236.135913340893,747.526234041028,205.888340671983,121.278,208.444303,363.926946765219,211.503289,184.830856,325.631231862008,541.841185,335.914952,286.449214891892,664.929157,128.014849772729,183.773678602443,555.669,85.0,842.0,184.835710727441,223.477499999999,88.9565591100001,351.1,75.9999999999991,114.092,128.682240938867,166.0,149.0,5.2861456515
1857,326.655443878966,48.5,52.0,57.0,57.1,399.852270246218,201.9048,385.8,348.418940267396,388.999999999996,139.0,35.9,39.0,84.6,59.4,92.5,41.1,46.2,53.3,60.0,47.1,48.1,51.9,63.2,216.039714788679,289.0,113.6871,138.705999999993,172.781090903083,377.920702960273,230.418268030595,152.24,190.531072,363.926946765219,237.030142,166.347771,325.631231862008,541.841185,335.914952,286.449214891892,381.329108,99.5391299999984,81.5064887562413,650.536,156.0,791.0,286.243712327984,236.572500000002,43.6325820000011,351.1,34.8000000000002,114.092,162.830681890192,242.0,218.0,28.22487525225
1858,375.014035949925,73.2,60.7,34.0,140.8,389.366007516773,201.9048,241.1,386.619057452444,292.000000000002,139.0,44.4,46.8,39.6,42.3,89.4,64.5,40.7,38.5,20.8,55.5,50.8,30.1,43.0,302.146937467362,289.0,69.33817,122.850000000001,188.95596261216,656.013089655099,349.333152941714,173.024,259.081243,363.926946765219,158.018225,127.701316,280.63835170425,541.841185,335.914952,286.449214891892,418.912505,99.4292347727279,122.014190337789,544.644,156.0,679.0,156.842580316709,249.157499999999,65.4143900000007,351.1,95.6999999999994,114.092,183.625873866198,189.0,161.0,24.0610765695
1859,398.666583399074,61.0,72.1,30.9,85.8,518.431572488284,201.9048,190.2,656.740089184595,311.0,139.0,39.0,49.4,81.8,28.2,68.5,85.0,62.2,38.5,62.5,52.8,56.2,46.8,77.5,344.878520644753,327.0,113.46246,163.800000000001,236.487140645698,567.024023986909,365.321617218975,186.948,181.134119,363.926946765219,178.999335,152.905523,237.304210394804,541.841185,335.914952,286.449214891892,338.537153,113.42243909091,101.445180426216,616.185,156.0,654.0,164.621231047327,187.436,51.7547835999994,351.1,121.800000000001,114.092,204.016147194949,169.0,190.0,35.4084572255
1860,454.670662724274,50.5,51.8,28.8,120.6,477.774091543684,201.9048,441.4,285.985996222539,177.999999999997,139.0,58.9,70.4,47.8,59.1,101.2,55.6,62.1,54.6,49.4,30.5,50.9,24.8,77.5,258.370265582824,248.0,94.55205,204.12,268.29105317007,497.284336515177,409.90121259315,69.039,130.686516,363.926946765219,221.202818,152.85128,303.947986799503,541.841185,273.372065,286.449214891892,389.998552,99.0600340909075,136.485940985509,459.95,115.0,578.0,283.315257312983,224.570400000003,81.6626153999993,351.1,69.6000000000004,114.092,262.04163398854,208.0,169.0,17.88219462125
1861,185.85664262938,67.9,50.2,48.7,130.9,407.497240694732,201.9048,299.5,427.323029683933,440.000000000005,139.0,59.1,47.0,47.7,59.0,59.5,96.5,48.5,31.8,39.0,69.3,29.5,33.1,37.3,430.009925252064,373.0,94.55205,135.599999999999,221.487519064221,287.575242943168,270.284070444577,116.569,242.279666,363.926946765219,221.416601,174.074153,368.229183279943,541.841185,294.096831,286.449214891892,465.682223,96.0160165798412,88.019312770732,418.409,115.0,822.0,155.218509398638,283.937199999997,77.5208933500011,351.1,78.2999999999993,114.092,150.318728521467,200.0,193.0,23.412220958
1862,542.090059560801,54.1,60.2,44.0,147.4,287.884966926812,201.9048,296.7,426.590703664496,375.999999999998,139.0,39.0,62.8,89.3,67.2,56.5,78.9,72.8,29.1,57.5,55.3,26.7,43.8,37.3,244.805183340348,414.0,100.50384,108.48,166.66835783596,497.934412973326,81.8811754703356,68.57,223.804819,363.926946765219,136.037326,108.404595,324.102629619331,541.841185,394.42924,286.449214891892,399.797578,68.1419585086962,87.8581102043725,490.536,160.0,543.0,282.772089889637,171.604400000003,80.7211209649993,351.1,147.9,114.092,206.239044085063,161.0,218.0,45.94120168675
1863,314.330344691768,59.5,65.9,39.3,101.8,297.525319346862,201.9048,266.6,361.524462844304,302.0,139.0,63.2,31.5,64.1,83.8,112.9,78.7,78.3,28.2,60.3,58.0,42.7,46.2,43.1,287.447581296187,289.0,106.78533,149.250000000006,249.348177314259,406.976468606801,229.085829529035,109.13,148.792591,363.926946765219,184.23703,155.302497,259.030539170731,541.841185,211.481563,286.449214891892,334.637478,203.969181410869,105.21694429355,333.255,179.0,660.0,189.390946120249,186.5,78.215603390001,351.1,69.6000000000004,114.092,162.347767217398,156.0,141.0,8.0569802765
1864,563.674170930427,68.6,73.7,53.4,176.1,307.135265343449,201.9048,415.9,502.439065963567,350.999999999999,139.0,29.9,44.5,63.9,39.0,92.0,46.5,56.8,48.8,50.0,35.9,26.6,54.0,63.1,342.785396733063,419.0,94.22235,190.162000000012,152.711219705756,357.749316735084,261.5744319708,60.84,204.526802,363.926946765219,193.397812,177.492456,323.111790724459,541.841185,263.249342,440.74003369291,456.119858,81.5191456891315,104.914815058551,416.842,167.0,600.0,180.274508746091,223.799999999998,89.8139315949989,351.1,69.6000000000004,114.092,294.696124345274,232.0,173.0,19.1084130195
