year,vrs-13 (vostok stack),B31 3.43W ,B32 0.00667E,B33 6.4983E,FB96DML01,FB97DML04,FB97DML06,FB97DML07,FB97DML09,FB97DML10,FB9804,FB9805,FB9807,FB9808,FB9809,FB9810,FB9811,FB9812,FB9813,FB9814,FB9815,FB9816,FB9817,SPOLE 0EW , D66 136.9352E,LGB65 77.07472E,GV2 145.2631 E,ITASE-02-7,ITASE-02-4,Law Dome (2015),200 km,BerknerR25 45.716W,Gomez,"JRI (Aristarain et al., 2004)",Dyer Plateau,Ferrigno,Bryan coast,DIV2010,THW2010, WD05A 112.125W,WD05Q 112.086W ,WAIS 2014,SDM-94,UP-C,RIDS-A,RIDS-C,ITASE-99-1,ITASE-00-1,ITASE-00-3,ITASE-00-4,ITASE-00-5,ITASE-01-1,ITASE-01-2,ITASE-01-3,ITASE-01-4,ITASE-01-5,Hercules Neve 165.4 E, Talos Dome 159.07575E, GV7 158.8624E,GV5 158.5369 E,RICE,Fimbulisen s100,Ekstroem B04,FB9802,Derwael Ice Rise,H72 41.08333E
1897,4.48,67.4,47.0,52.0,46.6,63.0,68.4,37.6,28.0,46.9,40.5,19.3,34.1,45.2,96.2,141.6,45.6,59.1,52.5,73.3,45.6,45.0,40.9,84.33,264.92,144.0,108.9,55.65,89.68,635.0,422.68,150.9,657.62,509.19,369.0,371.19,301.59,250.1,203.7,156.0,177.0,254.04,102.94,86.46,196.51,168.35,171.41,209.49,296.94,237.63,101.69,232.08,396.92,294.69,288.32,404.52,82.14,86.8,222.49,149.78,245.19,387.0,452.0,130.8,316.21,239.21
1898,20.94,75.3,48.5,47.1,32.0,63.0,68.4,37.6,28.0,46.9,43.2,31.4,83.8,37.2,56.3,108.6,45.6,49.0,67.5,41.7,43.1,32.4,84.6,84.23,325.8,126.0,102.85,55.65,75.42,844.0,331.79,111.9,440.93,420.58,424.0,244.36,414.06,412.8,218.3,229.0,218.0,201.76,52.05,119.44,217.2,168.35,192.38,276.58,428.25,133.72,99.35,268.32,251.4,319.08,324.68,383.62,135.23,84.0,277.84,158.2,258.22,310.0,364.0,71.9,273.7,422.7
1899,22.19,40.7,64.5,36.9,46.8,63.0,68.4,37.6,36.0,46.9,48.5,29.0,57.6,53.1,42.3,67.0,43.8,40.8,62.5,88.3,68.2,29.8,95.7,63.11,189.7,114.0,90.75,55.65,150.69,821.0,226.75,117.9,646.36,495.14,425.0,284.69,403.9,381.3,226.2,212.0,205.0,240.78,91.23,86.06,258.73,168.35,186.76,290.31,360.39,247.53,118.37,391.93,434.45,419.2,431.0,429.72,73.48,56.0,233.37,167.62,216.41,270.0,537.0,146.7,399.24,207.23
1900,26.37,43.3,66.1,25.2,35.9,63.0,48.5,37.6,48.0,46.9,66.7,55.4,83.6,55.8,70.7,100.6,84.6,28.6,34.9,43.9,22.7,51.9,52.0,73.55,245.43,93.0,121.0,55.65,75.25,521.0,203.97,104.1,636.62,589.51,342.0,324.82,281.34,418.3,310.2,205.0,227.0,265.63,78.28,122.19,237.27,168.35,99.98,274.2,490.34,189.51,177.19,375.48,528.23,395.96,471.32,540.93,122.05,117.6,186.77,226.0,274.44,385.0,377.0,149.3,281.01,378.6
1901,15.2,64.4,66.6,30.5,36.3,63.0,31.2,37.6,28.4,46.9,74.9,52.9,52.1,23.9,107.8,69.8,38.3,36.7,27.3,38.7,62.8,44.4,30.1,89.21,168.56,118.0,121.71,55.58,150.19,717.0,470.05,125.7,675.35,633.32,395.0,324.26,337.14,529.0,262.8,255.0,256.0,227.58,156.78,79.2,285.5,168.35,99.86,254.61,457.99,237.22,157.45,309.41,340.31,278.82,281.25,657.08,73.48,67.2,142.3,77.41,239.86,380.0,304.0,71.2,314.14,339.02
1902,15.68,65.5,58.3,47.9,39.4,63.0,65.8,37.6,59.9,46.9,36.1,28.8,54.6,55.8,57.0,55.7,30.5,31.5,22.3,41.2,30.1,44.2,82.3,82.29,192.72,124.0,97.37,62.45,119.84,616.0,387.05,134.1,479.23,643.99,441.0,404.51,495.43,331.0,241.1,265.0,226.0,252.13,126.97,141.9,257.07,168.35,99.73,267.17,473.48,218.87,197.19,526.25,640.23,376.99,280.51,326.55,77.43,70.95,224.23,113.49,264.4,267.0,549.0,83.8,447.72,404.48
1903,2.58,60.4,40.2,45.9,65.4,63.0,66.3,37.6,52.6,46.9,63.7,69.4,46.7,87.8,93.7,58.4,35.5,37.7,49.2,71.9,70.0,41.7,134.3,80.1,266.49,93.0,103.46,76.22,139.51,1026.0,363.64,118.6,469.62,621.62,321.0,286.68,363.81,425.6,286.5,181.0,187.0,301.11,107.55,105.6,194.18,168.35,79.7,248.67,326.54,200.63,138.54,326.42,401.44,269.09,406.92,402.57,82.67,51.3,234.87,88.54,297.06,193.0,432.0,153.6,270.91,457.91
1904,18.81,58.1,38.0,34.3,39.7,63.0,30.6,37.6,40.5,46.9,80.3,38.3,82.8,66.6,120.8,99.8,45.7,36.6,27.0,25.6,62.4,31.8,108.2,104.56,260.76,81.0,127.8,76.1,83.53,642.0,208.5,173.0,626.27,489.25,439.0,177.44,251.49,425.6,303.0,249.0,300.0,185.4,147.68,211.2,304.5,153.5,79.62,308.03,472.84,211.93,138.6,493.57,362.35,334.72,312.07,483.7,138.44,68.4,272.65,175.26,147.59,315.0,489.0,194.8,270.51,302.23
1905,20.37,47.9,49.8,50.7,30.1,63.0,61.4,37.6,36.5,46.9,76.4,28.8,59.4,79.8,122.2,58.1,30.5,60.8,39.1,64.0,62.3,56.1,61.5,101.79,202.68,137.0,107.87,69.07,125.04,709.0,361.65,123.9,557.64,465.12,440.0,298.02,297.68,314.5,257.4,201.0,157.0,125.57,114.99,99.0,200.27,164.21,201.18,162.96,345.07,209.72,158.09,172.71,455.12,194.2,289.75,537.81,190.42,102.6,242.45,169.52,335.87,385.0,416.0,92.9,353.8,309.5
1906,19.02,47.8,56.3,53.5,29.2,56.0,44.0,37.6,31.5,46.9,73.3,36.1,43.8,66.2,77.9,118.9,50.8,48.6,41.3,38.3,42.3,26.8,100.8,80.8,169.99,75.0,101.87,68.23,110.91,656.0,360.4,105.6,596.37,593.45,336.0,249.32,380.81,278.9,223.6,130.0,220.0,160.91,128.35,125.19,296.61,90.05,163.54,108.65,412.22,160.53,189.6,273.4,344.1,306.55,323.36,351.09,163.01,104.5,204.88,152.43,180.02,567.0,344.0,118.8,562.14,185.53
1907,4.43,53.1,45.0,35.1,45.0,91.1,40.0,37.6,57.6,17.3,43.8,43.4,82.2,86.9,86.5,85.6,48.3,36.3,48.5,58.7,62.1,43.9,79.2,69.77,164.86,239.0,125.84,127.28,55.37,675.0,395.44,89.3,563.58,724.64,279.0,365.28,472.74,251.9,259.6,172.0,107.0,215.14,89.94,203.48,165.47,154.84,114.29,179.76,296.24,137.6,175.87,199.96,228.71,303.83,347.57,337.44,101.26,99.0,178.21,175.01,302.48,306.0,414.0,147.6,452.17,312.58
1908,15.04,45.1,65.2,31.7,45.0,42.0,36.1,37.6,30.7,70.9,60.5,45.9,46.2,78.7,131.5,68.9,53.4,25.7,24.2,38.2,59.7,34.1,34.2,49.94,233.32,167.0,95.88,46.8,107.29,724.0,147.69,133.5,723.07,671.71,549.0,364.53,490.13,333.1,258.8,184.0,169.0,212.96,141.28,104.65,179.19,95.33,146.87,251.56,323.66,186.92,206.99,273.47,298.73,350.69,433.67,510.68,167.72,89.1,217.9,125.55,176.71,452.0,229.0,73.7,542.92,269.76
1909,24.85,48.7,66.5,36.0,28.0,35.0,60.8,53.8,44.2,49.7,43.4,36.3,64.2,62.9,55.9,150.8,53.4,41.0,55.8,48.3,39.8,34.1,70.9,77.95,333.47,96.0,66.43,93.42,101.6,696.0,219.77,119.6,595.69,840.71,287.0,247.94,378.33,381.6,236.2,197.0,187.0,161.32,83.12,97.88,179.01,137.18,97.88,167.69,418.6,123.94,158.75,333.75,421.19,288.42,296.47,536.89,72.33,64.8,229.73,121.68,224.76,444.0,499.0,118.5,491.55,403.8
1910,19.62,57.7,39.9,43.6,58.4,59.4,68.3,64.2,56.5,49.9,43.3,70.0,69.3,44.5,80.9,73.6,70.9,41.0,41.2,58.4,24.9,14.6,39.3,88.23,169.88,107.0,115.49,86.48,114.08,642.0,132.54,88.8,722.46,394.43,597.0,263.54,497.23,264.1,279.9,142.0,93.0,208.83,165.34,143.14,164.77,89.55,65.24,217.4,321.04,165.06,110.91,276.79,262.69,379.18,453.22,418.29,48.37,97.2,233.0,139.47,144.37,371.0,299.0,178.7,348.87,353.15
