site,original_site,Latitude,Longitude,Elevation
vrs-13 (vostok stack),Vostok composite VRS13,-78.47,106.83,3488.0
B31 3.43W,B31Site DML07,-75.58,-3.43,2680.0
B32 0.00667E,B32Site DML05,-75.0,-0.01,2892.0
B33 6.4983E,B33Site DML17,-75.17,6.5,3160.0
FB96DML01,FB96DML01,-74.8583,-2.55,2817.0
FB96DML02,FB96DML02,-74.9694,-3.92,3014.0
FB97DML03,FB96DML03,-74.4914,1.9681,2843.0
FB97DML04,FB96DML04,-74.4094,7.2181,3161.0
FB97DML05,FB96DML05,-75.0039,0.0117,2882.0
FB97DML06,FB96DML06,-75.0011,8.0089,3246.0
FB97DML07,FB96DML07,-74.5914,-3.4394,2669.0
FB97DML08,FB96DML08,-75.7547,3.2936,2962.0
FB97DML09,FB96DML09,-75.9333,7.2217,3145.0
FB97DML10,FB96DML10,-75.2167,11.35,3349.0
FB9803,FB9803,-74.854667,-8.497,2600.0
FB9804,FB9804,-75.250333,-6.0,2630.0
FB9805,FB9805,-75.167333,-0.995,2840.0
FB9807,FB9807,-74.997,0.036167,2880.0
FB9808,FB9808,-74.750667,0.999833,2860.0
FB9809,FB9809,-74.499167,1.960833,2843.0
FB9810,FB9810,-74.667167,4.001667,2980.0
FB9811,FB9811,-75.084,6.5,3160.0
FB9812,FB9812,-75.250833,6.501667,3160.0
FB9813,FB9813,-75.1669,5.0006,3100.0
FB9814,FB9814,-75.083667,2.501,2970.0
FB9815,FB9815,-74.9597,-1.5019,2840.0
FB9816,FB9816,-75.0,-4.505,2740.0
FB9817,FB9817,-75.000667,-6.498333,2680.0
SPOLE 0EW,South Pole 1995,-90.0,0.0,2850.0
D66 136.9352E,D66,-68.94,136.94,2333.0
LGB65 77.07472E,LGB65,-71.85,77.92,1850.0
GV2 145.2631 E,GV2,-71.71,145.26,2143.0
ITASE-02-7,US-ITASE-2002-7,-88.9989,59.9744,3000.0
ITASE-02-4,US-ITASE-2002-4,-86.5,-107.99,2586.0
Law Dome (2015),DSS Law Dome,-66.77,112.807,1370.0
105 km,105th km,-67.433,93.383,1407.0
200 km,200th km,-68.25,94.08,1990.0
BerknerR25 45.716W,Berkner Island (South),-79.57,-45.72,890.0
Gomez,Gomez,-73.59,-70.36,1400.0
"JRI (Aristarain et al., 2004)",James Ross Island,-64.22,57.68,1640.0
Dyer Plateau,Dyer Plateau,-70.68,-64.87,2002.0
Bruce Plateau,Bruce Plateau,-66.038,-64.078,1975.5
Beethoven,Beethoven,-71.9,74.6,580.0
Ferrigno,Ferrigno,-74.57,-86.9,1354.0
Bryan coast,Bryan Coast,-74.496,-81.678,1177.0
DIV2010,DIV2010,-76.77,-101.74,1330.0
THW2010,THW2010,-76.95,-121.22,2020.0
PIG2010,PIG2010,-77.96,-95.96,1590.0
WD05A 112.125W,WDC05A,-79.46,-112.09,1806.0
WD05Q 112.086W,WD05Q,-79.46,-112.09,1759.0
WAIS 2014,WAIS 2014,-79.46,-112.09,1759.0
CWA-A,CWA-A,-82.3671,-119.2855,950.0
CWA-D,CWA-D,-81.3723,-107.275,1930.0
SDM-94,Siple dome-94,-81.648077,-148.79,620.0
UP-C,Upstream-C (UP-C),-82.43911,-135.97195,525.0
RIDS-A,Ross ice drainage system A,-78.73,-116.33,1740.0
RIDS-B,Ross ice drainage system B,-79.46,-118.05,1603.0
RIDS-C,Ross ice drainage system C,-80.01,-119.43,1530.0
ITASE-99-1,US-ITASE-1999-1,-80.62,-122.63,1350.0
ITASE-00-1,US-ITASE-2000-1,-79.3838,-111.24,1791.0
ITASE-00-3,US-ITASE-2000-3,-78.433,-115.9172,1742.0
ITASE-00-4,US-ITASE-2000-4,-78.0829,-120.0764,1697.0
ITASE-00-5,US-ITASE-2000-5,-77.683,-123.995,1828.0
ITASE-01-1,US-ITASE-2001-1,-79.1597,-104.9672,1842.0
ITASE-01-2,US-ITASE-2001-2,-77.8436,-102.9103,1336.0
ITASE-01-3,US-ITASE-2001-3,-78.1201,-95.6463,1620.0
ITASE-01-4,US-ITASE-2001-4,-77.6116,-92.2483,1483.0
ITASE-01-5,US-ITASE-2001-5,-77.0593,-89.1376,1239.0
Hercules Neve 165.4 E,Hercules Névé,-73.1,165.4,2960.0
Talos Dome 159.07575E,TD96 Talos Dome,-72.8,159.06,2316.0
GV7 158.8624E,GV7,-70.68,158.86,1947.0
GV5 158.5369 E,GV5,-71.89,158.54,2184.0
RICE,RICE,-79.36,161.64,560.0
Fimbulisen s20,Fimbulisen S20,-70.2472,4.8183,63.0
Fimbulisen s100,Fimbulisen S100,-70.2439,4.8,48.0
Ekstroem B04,Georg-von-Neumayer (B04),-70.6167,-8.3667,28.0
FB9802,Kottas Camp FB9802,-74.2083,-9.7472,1439.0
Derwael Ice Rise,Derwael Ice Rise IC12,-70.25,26.34,450.0
H72 41.08333E,H72,-69.2,41.08,1214.0
