year,B33 6.4983E,Bruce Plateau,DIV2010,DML07,FB97DML05,FB9807,FB9809,FB9814,Ferrigno,Fimbulisen s100,Gomez,ITASE-00-1,ITASE-00-3,ITASE-00-4,ITASE-00-5,ITASE-01-1,ITASE-01-2,ITASE-01-3,ITASE-01-4,ITASE-01-5,ITASE-02-1,ITASE-02-4,ITASE-02-7,Jurassic,Law Dome (2015),Mount Johns,NUS07-1,NUS07-2,NUS07-7,NUS08-4,NUS08-5,NUS08-7,Palmer,RIDS-A,Rendezvous,SDM-94,SP01,SP04C5,SPOLE 0EW,THW2010,UP-C,WD05A 112.125W,WDC05A
1897,1510.184,104100.0,4444.277,1622.895304,1140.764198,829.26,3281.1896,2471.69799,30870.0,141487.2,9455.938739,2873.2925,11173.50491,4800.06648,2262.825,6273.47732,20231.73936,2653.86191,2208.72396,23451.8583,6835.83288,538.2,1410.08272,30441.44987,34847.53,2738.266981,722.956,997.56,379.809,1778.738,512.524,2460.92,17961.70232,7689.1331,70506.53983,14272.5602,595.0809164,1008.254739,398.37571119999996,5625.7866,5533.478062,7835.501432,4983.2172
1898,922.9716,189900.0,9261.5808,1009.222922,1534.066272,641.24,781.14561,1108.48191,8270.0,131688.0,14290.06948,7722.86562,8057.13677,2317.40873,4231.8556,7791.80762,10478.8548,5375.04804,5390.57199,4729.09752,3433.62285,294.3616,1410.08272,15896.57945,53305.352,13103.25147,964.496,884.816,636.498,338.032,875.457,993.09,7932.051985,6373.663572,31589.23365,3413.62049,1068.944862,1108.223022,875.012665,2034.556,7086.411421,7488.92067,4158.2278
1899,886.707,341400.0,15823.5687,2993.83054,1144.384638,1645.532,1392.84594,2304.95671,10750.0,79380.0,15353.03643,7206.78459,6728.99236,2860.33275,3100.10272,6306.8467,23736.5612,6139.35168,8726.8449,22038.4536,6472.14732,1321.83491,1410.08272,38957.75182,64315.498,37553.98282,1140.048,816.442,749.007,84.175,1191.289,573.65,10814.55069,7589.186292,64778.28493,9018.24117,812.7340284,646.392941,752.56244765,3923.8914,1591.728768,9131.189915,279.0344
1900,1150.3548,291800.0,10847.7739,1906.912418,1249.302828,1059.236,5276.09355,700.66595,10150.0,252829.5,24592.00463,6765.11724,8028.51541,4304.303,4675.91816,5408.2514,18724.21462,5102.7372,4059.16551,12738.51954,5701.83972,210.9906,1410.08272,31469.61398,53048.741,9562.968522,571.844,671.5,703.431,372.516,1154.585,371.28,14523.34352,3520.825788,108410.4035,13578.03877,1488.25995,839.2314572,958.4422663,2807.9304,6525.874644,4254.026249,3014.9145
1901,893.1315,202300.0,11916.783,1322.684635,741.2659079,452.268,1097.53336,1015.2171,10930.0,81548.0,26708.80276,5414.50182,6726.3712,4368.32264,8913.5235,6485.6428,11438.8442,3087.18028,3317.96316,14724.49393,5200.9626,1299.5304,643.987,49973.68758,38968.233,6784.536699,584.844,411.4,724.464,1379.323,976.43,530.95,17368.72187,3542.22454,63378.33656,46928.73456,464.044099,1311.355144,717.11623095,2681.874,6375.18024,2885.513602,4486.282499999999
1902,1019.0246,490700.0,5536.968,2062.495137,1467.026972,995.86,881.1744,755.9994,41670.0,171841.2,15050.34217,6424.20944,9856.9442,6390.06313,5994.0912,5967.84468,12922.24494,9061.8359,7007.08635,9866.99325,7495.44072,836.5035,790.9,13700.53543,45224.256,5719.816456,986.232,377.536,723.573,1469.603,1253.227,1754.9,3880.897058,4565.143094,25703.20979,10805.59148,1211.777477,765.7632612,1104.0508475,2733.3507,14616.46626,5504.543425,5957.6505
1903,1833.7968,144100.0,12556.0512,1329.432756,1519.48765,1069.572,2394.972,951.21543,12490.0,79245.8,37164.45905,7400.78973,8770.60625,5128.2387,5929.58665,4977.79584,7266.06252,4815.46377,10845.34984,18138.5391,3268.7981,2033.631,1034.93316,50402.34351,87194.61,5146.296722,1244.412,557.124,664.362,842.897,1405.741,2079.07,9236.445335,5985.030138,62126.21742,5922.227807,1442.805113,1270.368146,941.9567355500001,6402.702,11714.69376,8691.782244,3361.2243
1904,814.5907,492800.0,12008.7296,1609.216179,1543.049942,1154.436,3001.97664,610.18368,9610.0,121495.5,19706.72223,16120.0732,15346.09512,22309.12866,13075.524,10352.37152,8809.3245,9046.77365,9264.34519,18133.28419,16599.27256,433.08945,1101.85951,27168.24199,48506.31,4066.444854,873.652,803.318,776.169,1132.163,1316.571,1510.32,11067.24394,7342.484147,69792.08716,13558.39119,725.5919552,1191.162149,974.4462735,5278.866,15494.07552,3684.295189,2868.3555
1905,396.0684,271100.0,19151.4775,3374.5303,1385.036391,864.008,4274.64154,2815.0912,26280.0,158620.0,23791.88155,3278.2886,15188.02355,5401.22193,5815.50297,3297.22294,9355.39968,3488.9001,6698.58825,30357.41172,6723.65673,1009.45,1112.4409,21649.5302,33152.131,7953.43621,397.904,951.388,939.168,620.49,1139.97,963.27,7787.369711,10483.56374,66037.86677,24375.39072,373.0187212,1904.970958,1345.587317,7044.7806,18353.4219,5069.679839,4507.7667
1906,492.8955,211700.0,10686.0535,895.6207456,1506.812425,788.8,1771.8355,776.25291,33820.0,220789.8,21286.97602,1802.03238,5127.93288,3478.8375,6355.5816,9660.50698,9264.06666,3856.6282,3350.424,18516.3118,2655.7344,2304.22475,937.3408,32486.5735,76481.072,5247.127382,1139.216,778.192,741.258,1016.168,478.336,1766.17,8109.947605,5618.384726,59981.52811,8320.464866,1025.918038,949.0490622,877.4628835000001,3061.3076,18681.09067,1130.071742,2836.951
