Name,Latitude (degree_north),Longitude (degree_east),Elevation (m a.s.l.)
105km,-67.43,93.383,1416
ABN_13/14_snowpit,-71.17,110.37335,2964
B40,-75,0.06,2892
BER11C95_25,-79.61,-45.72433,886
BH-2,-78.47,106.8,3488
BH-1,-78.47,106.8,3488
Bouvet Island,-54.42,3.390833,350
Bruce Plateau,-66.03,-64.07,1975
cDML,-71.33,11.583,1300
CWA_a_2013,-82.37,-119.2855,950
CWA_d_2013,-81.37,-107.275,1930
DF01,-77.37,39.7,3810
DFS10,-77.4,39.62,3800
DIR,-70.23,26.3349,450
DIV2010,-77.95,-95.96,1329
DML03C98_09(FB9809),-74.5,1.960833,2843
DML05,-75,0.02,2892
DML07,-75.58,3.43,2680
DML15C98_14(FB9814),-75.08,2.501,2970
DML17C98_33(B33),-75.17,6.4985,3160
DSS0506,-66.77,112.80711,1370
DT401,-79.02,77,3760
EDC,-75.1,123.35,3233
EDC_50y,-75.1,123.35,3233
EPICA DC,-75.1,123.35,3233
EPICA DomeC,-75.1,123.35,3233
EDC96,-75.1,123.35,3232
EDML,-75,0.0684,2892
Ferrigno,-74.57,-86.9,1354
FIS_BI,-70.4,-3.03,394
FIS_KC,-70.52,2.95,264
FIS_KM,-70.13,1.2,268
FIS_S100,-70.23,4.8,48
GIP icp-ms,-79.97,160.2,380
GIP ic,-79.97,160.2,380
Gomez,-73.59,-70.36,1400
H15,-69.08,40.78,1050
IC-06,-81.05,-79.835861,750
ISO-ICE_spa,-75,0.07545,2892
ISO-ICE_spb,-75,0.07545,2892
ITASE-00-1,-79.38,-111.239,1791
ITASE-00-2,-78.73,-111.497,1675
ITASE-00-3,-78.43,-115.917,1742
ITASE-00-4,-78.08,-120.076,1697
ITASE-00-5,-77.68,-123.995,1828
ITASE-01-1,-79.16,-104.967,1842
ITASE-01-2,-77.84,-102.91,1336
ITASE-01-3,-78.12,-95.6463,1620
ITASE-01-4,-77.61,-92.2483,1483
ITASE-01-5,-77.06,-89.1376,1239
ITASE-01-6,-76.1,-89.0177,1228
ITASE-02-1,-82,-110.008,1746
ITASE-02-4,-86.5,-107.99,2586
ITASE-02-5,-88,-107.983,2745
ITASE-02-6,-89.93,144.3938,2808
ITASE-02-7,-89,59.9744,3000
ITASE-03-1,-86.84,95.31,3124
ITASE-03-3,-82.08,101.96,3444
ITASE-99-1,-80.62,-122.63,1350
Jurassic,-74.3,-73.05,1139
LawDome_DSS,-66.77,112.8069,1370
LGB69,-70.83,77.067,1850
MES2012 ic,-77.52,167.6765,1600
MES2012 icp-ms,-77.52,167.6765,1600
MI0910,-65.55,100.785,500
Mount Johns,-79.92,-94.388361,2100
NFL-1,-77.09,95.37891,3760
NUS07-1,-73.72,7.98,3174
NUS07-2,-76.07,22.47,3582
NUS07-5,-78.65,35.63,3619
NUS07-7,-82.07,54.88,3725
NUS08-4,-82.82,18.9,2552
NUS08-5,-82.63,17.87,2554
NUS08-7,-74.88,1.6,2700
NVFL00,-76.7,102.16673,3530
NVFL-1,-77.09,95.37891,3760
Palmer,-73.86,-65.46,1897
PIG2010,-78,-96,1593
PIG,-78,-96,1593
PV-10,-72.81,79.934,2800
Rendezvous,-74.45,-78.1656,1006
RICE12-13pit,-79.36,-161.706,500
RIDS95A_2013,-78.73,-116.33,1740
RIDS95B_2013,-79.46,-118.05,1603
RIDS95C_2013,-80.01,-119.43,1530
SCH2,-79.55,-84.05,1059
SDM1994_2013,-81.65,-148.79,620
SHIC,-72.67,-99.63,474
SKBL,-74.85,-71.59,1419
SouthPole1995_2013,-90,0,2850
SP01,-89.95,17.67,2835
SP04C5,-89.95,17.67,2835
SP04C6,-89.95,17.67,2835
SPICE,-89.99,-98.16,2835
SW-42,-78.74,105.59062,3590
SW-80,-79.01,104.46806,3590
TA192A__Adelie_Land,-66.78,139.56,602
TD05,-72.8,159.1,2316
TD96,-72.48,159.06,2316
TaylorDome,-77.81,158.72,2365
THW2010,-77,-121.2,2020
THW,-77,-121.2,2020
UpC_2013,-82.44,-135.97195,525
VFL-1,-78.09,102.8,3570
vk07,-78.45,106.84,3488
vk55,-78.45,106.84,3488
VKT55,-78.45,106.84,3488
VLG,-77.33,162.5331,624
Vostok5G_icp-ms_hplc,-78.47,106.8,3488
Vostok5G_ic,-78.47,106.8,3488
W10k,-66.75,112.83,1390
WDC05Q,-79.46,-112.225,1759
WDC05A,-79.46,-112.225,1759
WDC06A,-79.47,-112.09,1806
WHG ic,-72.9,169.083,400
WHG icp-ms,-72.9,169.083,400
WP,-75.25,163.166,50
