year,FB9813,FB9802,Siple Station,FB96DML01,FB97DML04,FB97DML06,FB97DML09,FB97DML10,Hercules Neve 165.4 E,Fimbulisen s100,Ekstroem B04,Plateau Remote,Bruce Plateau,ITASE-01-2,ITASE-01-5,Law Dome (2015),ITASE-00-1,WD05A 112.125W,ITASE-02-4
1897,-47.83,-32.45,-29.937,-46.39,-45.98,-49.22,-48.66,-49.91,-34.65,-23.52,-22.79,-55.7419,-18.3327,-29.569,-32.705,-22.84315,-33.8114,-34.35944737,-40.928236
1898,-46.75,-33.69,-29.208,-45.18,-45.98,-49.22,-47.38,-49.91,-35.24,-25.54,-22.55,-53.9012,-18.3327,-29.569,-32.705,-20.6008,-32.0324,-33.66961429,-40.61894757
1899,-45.68,-34.29,-30.606,-44.31,-45.98,-49.22,-48.81,-49.91,-33.35,-26.38,-24.17,-55.0716,-18.3327,-29.569,-32.705,-22.1899,-32.0985,-33.27416053,-41.12886182
1900,-46.1,-33.49,-29.37,-43.22,-45.98,-47.81,-51.09,-49.91,-33.1,-25.12,-23.4,-57.1904,-18.3327,-29.569,-32.705,-21.775,-32.95495,-33.47159048,-41.72416986
1901,-46.14,-32.88,-28.741,-42.13,-45.98,-48.27,-51.47,-49.91,-35.86,-23.01,-21.04,-55.6578,-20.01,-29.627,-31.368,-22.4739,-32.0258,-33.45163947,-42.56457433
1902,-46.28,-31.5,-27.792,-41.63,-45.98,-49.76,-50.82,-48.31,-35.77,-22.3,-19.57,-55.5034,-19.6998,-28.413,-32.721,-21.3541,-33.05295,-33.25767143,-41.865282
1903,-46.68,-30.8,-29.034,-40.77,-45.98,-49.14,-50.72,-50.9,-34.76,-21.93,-18.02,-56.479,-19.5967,-30.228,-34.175,-22.87965,-33.7209,-34.51163684,-44.21236125
1904,-46.9,-32.15,-28.531,-41.42,-45.98,-48.9,-52.13,-51.87,-36.09,-22.17,-19.73,-56.2708,-20.057,-29.129,-30.163,-23.2914,-32.61115,-33.19926429,-40.30511086
1905,-46.01,-33.05,-31.486,-43.33,-45.98,-47.33,-52.5,-51.17,-35.68,-23.18,-19.72,-53.8108,-20.2823,-28.396,-31.907,-21.94885,-34.1298,-33.85502105,-42.0342662
1906,-46.05,-32.59,-30.841,-44.01,-46.43,-45.72,-52.93,-50.1,-37.88,-23.61,-19.6,-50.9234,-20.062,-29.224,-34.049,-22.2949,-34.0149,-34.19235953,-46.25455389
1907,-47.52,-32.94,-30.339,-43.47,-48.1,-44.68,-52.54,-50.39,-34.57,-25.61,-22.59,-49.6593,-19.7952,-30.578,-34.125,-22.0407,-34.4268,-34.13871842,-43.869363
1908,-48.51,-34.15,-28.825,-43.34,-47.83,-46.24,-51.08,-50.75,-36.19,-25.16,-21.19,-51.1629,-19.723,-28.48,-32.982,-22.4768,-33.21685,-33.93649524,-42.21534638
1909,-49.09,-33.82,-28.721,-43.34,-47.39,-50.21,-49.51,-51.29,-33.67,-24.64,-22.38,-53.155,-18.5415,-28.973,-31.88,-21.782,-34.61975,-34.38442106,-44.52598867
1910,-48.24,-31.67,-30.637,-44.97,-45.24,-50.59,-49.18,-49.65,-35.38,-23.83,-22.56,-55.2661,-19.2387,-32.439,-32.107,-22.2982,-34.282,-34.3171,-45.52406322
1911,-47.36,-31.28,-29.593,-45.48,-44.58,-48.11,-48.77,-51.09,-34.48,-23.94,-21.49,-55.3949,-19.0925,-31.771,-32.091,-22.2058,-31.965,-34.43607106,-42.817722
1912,-45.24,-32.49,-28.607,-44.98,-44.88,-47.72,-49.27,-50.75,-33.73,-20.46,-21.41,-56.8025,-20.1079,-31.136,-30.826,-22.3485,-31.6988,-32.62928334,-43.2799232
1913,-44.07,-34.71,-28.801,-43.15,-47.99,-47.85,-48.15,-48.33,-35.66,-24.79,-21.24,-56.6009,-20.4519,-29.342,-31.855,-22.4841,-32.60405,-32.53939474,-44.61488042
1914,-43.67,-33.91,-30.742,-43.09,-47.18,-47.86,-47.75,-50.42,-34.8,-26.09,-21.07,-54.9927,-19.5684,-28.156,-33.926,-22.5154,-33.14695,-34.39280953,-43.9733265
1915,-43.8,-33.0,-30.289,-45.51,-46.96,-46.85,-47.34,-53.57,-37.01,-26.53,-22.54,-54.1145,-20.4199,-28.961,-32.169,-21.5641,-32.65525,-33.46432895,-44.7760061
1916,-44.61,-31.27,-29.396,-47.03,-48.45,-47.81,-47.97,-53.46,-36.37,-24.86,-19.91,-52.2353,-20.3057,-28.472,-31.722,-23.1988,-31.52605,-34.47286667,-43.03655775
1917,-45.43,-31.96,-29.949,-45.7,-47.62,-47.51,-47.41,-51.32,-35.44,-24.87,-19.92,-51.5269,-18.748,-28.857,-31.115,-21.079,-34.3742,-33.59472632,-43.404862
1918,-45.78,-33.34,-29.782,-44.16,-47.38,-46.84,-47.08,-50.36,-33.25,-25.58,-21.26,-54.6265,-20.1743,-30.046,-31.611,-22.2586,-32.4452,-33.70508095,-44.88793118
1919,-47.72,-31.65,-31.078,-43.81,-48.17,-46.72,-49.32,-47.44,-35.82,-23.48,-20.26,-54.2571,-19.4288,-29.503,-32.126,-21.8157,-33.5838,-33.5981,-42.40179629
1920,-48.08,-34.44,-28.881,-43.13,-47.31,-45.4,-51.68,-47.92,-35.53,-21.27,-20.18,-50.2708,-20.8688,-29.954,-31.741,-22.5877,-33.03915,-33.96610238,-41.40432057
1921,-48.48,-33.78,-28.423,-41.35,-46.78,-46.79,-52.16,-48.32,-34.97,-24.08,-18.74,-51.7801,-19.1132,-30.046,-32.257,-23.0225,-31.871,-34.64739737,-44.1548827
1922,-48.42,-31.86,-30.056,-43.01,-46.44,-48.27,-51.08,-50.3,-33.62,-23.63,-20.01,-53.5051,-17.8057,-29.202,-30.265,-22.2194,-31.90115,-35.05451905,-42.9467229
1923,-46.06,-31.69,-29.06,-44.33,-45.6,-46.04,-51.41,-51.68,-32.89,-23.57,-21.71,-54.9952,-19.5905,-29.623,-30.526,-22.2861,-32.55275,-34.36942106,-42.896766
1924,-47.35,-32.25,-29.904,-44.29,-47.88,-44.57,-49.44,-50.37,-33.95,-21.87,-21.7,-56.3734,-20.3748,-29.565,-30.924,-22.6067,-32.4791,-35.3346381,-44.60505436
1925,-49.54,-32.8,-29.405,-44.65,-50.11,-47.22,-49.41,-50.23,-35.91,-23.71,-19.64,-55.3899,-19.9285,-29.232,-31.65,-22.8908,-31.60295,-34.60639474,-43.86487017
1926,-48.55,-32.69,-29.273,-44.97,-48.33,-48.39,-48.95,-50.18,-36.61,-23.91,-21.02,-53.8805,-20.7172,-30.119,-30.687,-22.2605,-31.972,-32.75469762,-41.99970614
1927,-47.5,-32.71,-30.364,-43.96,-48.64,-47.61,-48.82,-50.8,-38.1,-22.81,-23.16,-53.3656,-19.5678,-30.288,-32.635,-22.8367,-33.3222,-34.28782105,-42.4452324
1928,-46.46,-32.33,-29.866,-43.98,-48.93,-45.91,-50.57,-50.05,-35.55,-24.24,-20.99,-54.7025,-20.5641,-30.569,-32.178,-21.5651,-33.21415,-33.77039286,-43.3330535
1929,-46.47,-31.37,-31.073,-44.74,-48.07,-45.88,-51.9,-49.31,-33.23,-23.36,-23.54,-57.0034,-19.7769,-28.9,-33.75,-22.5082,-33.7222,-34.60253421,-44.24153013
1930,-43.34,-31.17,-28.877,-45.07,-47.78,-43.52,-49.52,-48.74,-34.21,-23.15,-20.81,-58.2034,-19.8941,-29.136,-32.219,-22.4982,-32.39405,-34.26630238,-42.6696721
1931,-41.81,-31.9,-29.58,-44.06,-45.6,-43.9,-49.55,-48.66,-36.6,-23.31,-19.07,-57.9258,-18.2964,-29.471,-32.526,-21.1342,-32.1692,-34.01444474,-42.08973093
1932,-41.65,-34.68,-29.971,-43.48,-41.79,-44.88,-49.95,-49.88,-34.32,-23.41,-20.82,-56.4279,-20.3487,-30.682,-32.266,-21.6193,-33.79205,-33.89152143,-43.135713
1933,-42.29,-34.08,-29.389,-42.51,-42.63,-41.47,-46.32,-50.71,-31.53,-24.69,-20.5,-54.2223,-21.3051,-30.072,-31.011,-22.5867,-33.46395,-34.12859474,-44.98654242
1934,-43.04,-33.05,-28.972,-42.05,-42.13,-41.71,-47.54,-50.66,-31.35,-23.35,-20.78,-51.6024,-19.5344,-30.052,-31.676,-23.0833,-33.08685,-34.32244286,-42.78709609
1935,-44.82,-30.86,-29.492,-42.57,-45.16,-41.59,-42.55,-50.86,-34.26,-23.74,-22.43,-52.6402,-20.2479,-30.804,-31.129,-22.5538,-33.38295,-34.87434211,-43.33142225
1936,-45.96,-34.17,-29.829,-46.33,-46.93,-45.43,-45.09,-46.32,-36.84,-22.7,-25.03,-54.674,-19.8209,-30.297,-30.978,-23.3035,-34.28415,-34.87154048,-40.43041356
1937,-45.01,-34.07,-30.117,-48.48,-47.16,-49.36,-47.44,-47.63,-35.31,-24.7,-22.19,-55.6054,-18.6637,-28.891,-32.694,-21.946,-34.25825,-34.95526842,-40.76231211
1938,-44.99,-35.4,-30.046,-47.1,-48.99,-47.74,-47.03,-45.61,-34.36,-23.44,-20.31,-54.3303,-20.6309,-28.815,-31.017,-23.1844,-31.38705,-33.55557857,-40.74622033
1939,-45.59,-33.79,-28.298,-45.94,-49.22,-46.29,-47.42,-42.4,-35.23,-21.53,-20.6,-50.9435,-20.5435,-29.858,-30.614,-21.7469,-30.6468,-33.14485,-42.5570775
1940,-45.64,-31.27,-27.739,-41.76,-50.31,-46.68,-47.54,-43.86,-33.19,-22.96,-20.39,-51.7323,-21.2304,-30.246,-31.294,-22.9746,-31.4079,-32.00455953,-40.454016
1941,-46.51,-32.01,-28.934,-43.06,-49.37,-47.61,-47.23,-45.89,-34.57,-23.46,-21.93,-54.3742,-20.7827,-29.576,-29.213,-22.3035,-31.15215,-32.84029211,-41.57678282
1942,-46.21,-34.37,-29.894,-43.47,-47.99,-48.6,-48.85,-48.38,-35.1,-22.13,-20.24,-56.7456,-19.1014,-28.7,-32.167,-21.6228,-32.847,-34.30288334,-42.9192032
1943,-44.56,-34.04,-31.507,-43.43,-48.72,-51.63,-50.19,-46.66,-36.31,-23.0,-19.34,-57.5617,-18.2623,-26.617,-34.047,-22.0262,-34.3568,-34.05051579,-41.92767508
