year,FB9813,FB9802,Siple Station,FB96DML01,FB97DML04,FB97DML06,FB97DML08,FB97DML09,FB97DML10,Hercules Neve 165.4 E,Fimbulisen s100,Ekstroem B04,Plateau Remote,Bruce Plateau,ITASE-01-2,ITASE-01-5,Ritscherflya Dronning Maud Land(100年)_δ18O_Ritscherflya Core E Dronning Maud Land d18O,Law Dome (2015),ITASE-00-1,WD05A 112.125W,ITASE-02-4,EPICA Dronning Maud Land
2009,,,,,,,,,,,,,,-18.5112,,,,,,,,
2008,,,,,,,,,,,,,,-18.5783,,,,,,,,
2007,,,,,,,,,,,,,,-19.7035,,,,,,,,
2006,,,,,,,,,,,,,,-18.4039,,,,,,-32.676,,
2005,,,,,,,,,,,,,,-18.0582,,,,,,-32.77277106,,
2004,,,,,,,,,,,,,,-18.8276,,,,,,-34.90898095,,
2003,,,,,,,,,,,,,,-19.2959,,,,,,-34.06291053,,
2002,,,,,,,,,,,,,,-20.0882,,,,,,-34.60150953,-43.91244186,
2001,,,,,,,,,,,,,,-18.5204,-27.58,-32.988,,,,-34.77497106,-41.77823333,
2000,,,,,,,,,,,,,,-18.1729,-29.213,-29.631,,,,-32.9421,-43.63939875,
1999,,,,,,,,,,,-24.75,,,-18.8057,-30.044,-30.38,,-23.8338,-33.5869,-34.74412895,-42.024093,
1998,,,,,,,,,,,-23.62,,,-18.689,-29.188,-30.681,,-22.4601,-30.64515,-32.07910476,-40.27404,
1997,-45.74,-33.47,,,,,,,,,-19.61,,,-20.4655,-30.848,-32.502,,-23.1874,-31.27915,-33.96101842,-41.79747472,
1996,-43.58,-27.23,,,,-46.04,-38.73,,-46.84,,-23.71,,,-20.1046,-30.094,-32.763,,-21.2777,-31.05205,-34.18554286,-42.28082691,
1995,-41.82,-32.31,,,-47.56,-46.75,-46,-48.71,-47.95,,-19.53,,,-18.261,-29.721,-32.264,,-21.9425,-31.30295,-33.9045079,-42.61236486,
1994,-45.39,-30.77,,,-47.25,-47.36,-46.04,-48.15,-49.66,,-23.62,,,-20.2103,-29.207,-31.751,,-22.9715,-33.2582,-33.73939286,-41.10546479,
1993,-46.59,-30.16,,-40.36,-46.1,-48.73,-47.55,-48.58,-48.54,,-19.86,,,-18.9123,-28.485,-31.034,,-23.00505,-32.83705,-32.36373158,-41.69604975,
1992,-45.66,-33.05,,-42.84,-49.14,-48.08,-47.77,-48.81,-49.41,-33.18,-23.33,,,-18.0297,-30.928,-30.173,,-21.9242,-31.4699,-31.97460238,-43.87922509,
1991,-44.81,-29.99,,-44.08,-47.56,-45.15,,-47.48,-52.63,-35.3,-23.44,,,-19.8831,-31.129,-31.109,-23.496714,-22.23545,-31.173,-33.71054211,-43.08939667,
1990,-45.91,-31.85,,-46.09,-49.03,-46.43,-41.37,-47.22,-50.6,-36.44,-24.64,,,-20.3291,-28.672,-31.038,-24.38,-23.34585,-32.1088,-33.58005,-41.34428293,
1989,-46.83,-30.55,,-44.18,-46.64,-48.77,-42.95,-46.96,,-31.39,-22.72,,,-18.3735,-29.917,-31.363,-26.73,-21.9704,-32.1809,-33.23084737,-42.722527,
1988,-45.49,-31.16,,-45.1,-45.72,-49.79,-46.76,-48.15,,-34.8,-24.44,,,-18.4648,-30.459,-30.821,-23.25,-21.3319,-33.31785,-33.76619524,-41.74703229,
1987,-45.94,-32.65,,-44.54,-44.44,-51.51,-47.34,-50.88,,-32.57,-23.12,,,-19.7307,-28.926,-31.47,-24.42,-23.09955,-33.86885,-34.25967106,-42.09624489,
1986,-50.39,-32.57,,,-44.02,-47.94,-46.87,-51.25,-48.21,-38.94,-21.67,,-53.85,-20.9069,-30.593,-30.375,-27.42,-23.12945,-35.1041,-36.55386429,-45.40495373,
1985,-47.37,-31.41,,-44.37,-48.37,-45.81,-47.12,-49.04,-49.79,-35.13,-21.04,,-54.3835,-18.5037,-30.704,-30.185,-26.35,-22.6768,-33.12595,-34.38282632,-43.3766044,
1984,-46.09,-31.64,,-44.63,-48.08,-46.54,-43.5,-44.25,-50.45,-34.33,-21.75,,-54.5897,-19.2693,-29.902,-31.764,-27.16,-21.17745,-31.49305,-34.89558095,-46.34701488,
1983,-47.59,-31.79,-29.661,-44.54,,-48.54,,-41.29,-53.24,-37.16,-22.97,,-56.2466,-18.6625,-28.498,-32.32,-27.78,-21.7903,-32.5972,-34.07652631,-43.14672363,
1982,-44.65,-31.2,-29.436,-44.34,-45.89,-47.26,-46.66,,-47.49,-32.7,-25.08,,-54.5345,-19.2833,-29.552,-33.751,-27.45,-21.80165,-33.061,-33.20293334,-42.86360667,
1981,-45.65,-32.68,-28.767,-43.49,-46.74,,-50.39,-44.54,-47.49,-33.5,-22.97,-21.1,-55.2942,-19.4138,-29.594,-30.389,-23.08,-21.752,-31.80585,-34.82181316,-42.13170133,
1980,-42.21,-33.54,-28.24,-42.7,-44.37,,-47.01,-44.54,-47.82,-32.33,-23.32,-18.16,-51.8716,-20.078,-30.15,-31.056,-24.68,-22.1756,-31.104,-32.27903095,-47.39885458,
1979,-43.78,-33.55,-30.006,-44.19,-42.67,,-44.41,-44.54,-48.33,-35.91,-23.05,-20.13,-52.3945,-18.943,-28.234,-31.085,-27.21,-22.6267,-33.1068,-33.49367895,-44.13100612,
1978,-44.29,-33.63,-29.999,-44.07,-46.36,-48.74,-44.68,-45.09,-47.86,-34.5,-24.8,-18.1,-55.8374,-19.6668,-31.288,-30.954,-26.34,-22.9898,-32.9469,-34.21874048,-41.2181806,
1977,-41.02,-26.84,-30.657,-43.7,-46.42,-47.31,-45.61,-48.22,-48.89,-34.33,-24.83,-17.11,-57.1222,-20.0779,-28.868,-32.396,-24.02,-21.1963,-34.313,-35.1627921,-44.88816437,
1976,-43.52,-28.13,-30.273,-43.59,-47.29,-45.53,-50.2,-47.41,-47.59,-37.15,-24.5,-22.86,-54.8459,-21.2858,-29.908,-31.891,-23.44,-22.81415,-32.361,-33.62792143,-44.04858807,
1975,-43.52,-32.6,-28.786,-43.05,-48.73,-46.38,-47.54,-51.3,-45.96,-32.94,-22.92,-19.15,-56.725,-20.2578,-30.53,-30.501,-25.52,-20.6416,-33.64775,-34.41157895,-44.5734188,
