year,"JRI (Aristarain et al., 2004)",Ferrigno,ITASE-01-3,WD05A 112.125W,ITASE-00-5
2010,,-195.7037,,,
2009,,-200.4321,,,
2008,,-213.1567,,,
2007,-159.8656,-193.6553,,,
2006,-135.4879,-195.7607,,-257.97,
2005,-147.5209,-185.3577,,-254.15,
2004,-144.8555,-196.7458,,-269.5595238,
2003,-148.6982,-207.5915,,-276.6131579,
2002,-153.0802,-190.0666,,-275.4619048,
2001,-135.9841,-180.275,-255.286,-277.5510526,
2000,-142.4262,-194.8265,-231.391,-260.9252381,
1999,-137.4388,-204.9464,-244.56,-272.0021053,-280.78475
1998,-142.4478,-202.6482,-245.656,-254.8628571,-269.26115
1997,-144.9565,-192.5793,-248.272,-274.9905263,-264.1979
1996,-144.0399,-207.3068,-255.838,-281.1452381,-254.2478
1995,-140.2485,-195.6229,-243.198,-269.2084211,-263.49685
1994,-137.3352,-204.6584,-248.771,-276.1961905,-256.45095
1993,-142.366,-198.4,-248.593,-253.2789474,-266.3078
1992,-141.5394,-207.4922,-243.89,-246.9157143,-247.9549
1991,-142.8111,-206.273,-250.731,-271.9457895,-263.70025
1990,-155.8586,-196.3251,-262.906,-260.2061905,-257.2861
1989,-126.6913,-206.3993,-263.612,-256.3826316,-266.6699
1988,-153.5852,-183.7332,-244.768,-272.6466667,-259.6492
1987,-147.43,-196.4817,-252.933,-279.2221053,-270.159
1986,-162.8816,-208.1689,-247.19,-285.0042857,-271.289
1985,-137.9976,-207.1798,-260.861,-265.1842105,-268.756
1984,-148.1801,-195.8602,-259.319,-277.1085714,-255.4979
1983,-141.727,-187.435,-244.644,-275.0257895,-263.50295
1982,-151.2444,-200.6041,-266.378,-265.077619,-270.51825
1981,-142.9228,-204.254,-254.392,-276.6815789,-268.57095
1980,-161.9697,-199.6712,-253.949,-251.8390476,-239.8951
1979,-149.5757,-214.5361,-245.059,-242.4615789,-273.9249
1978,-145.498,-209.3457,-249.788,-254.1780952,-276.951
1977,-151.253,-197.6737,-250.9,-270.9463158,-279.35905
1976,-133.0807,-202.4881,-259.192,-266.5995238,-271.35905
1975,-154.684,-197.1267,-260.708,-259.8089474,-258.3192
1974,-143.2311,-193.0676,-255.541,-266.0747619,-252.5879
1973,-134.4717,-199.2603,-256.825,-278.6668421,-262.6252
1972,-151.4425,-212.1826,-257.845,-264.4571429,-256.57015
1971,-141.2,-217.7315,-268.629,-263.0752632,-268.4569
1970,-156.6039,-198.0612,-245.169,-282.8361905,-261.314
1969,-143.7436,-213.635,-265.013,-274.4247368,-256.31985
1968,-161.3457,-212.5905,-247.729,-287.9404762,-247.51595
1967,-153.0764,-215.0531,-249.513,-262.4057895,-262.4422
1966,-147.135,-205.945,-251.577,-269.872381,-275.0428
1965,-153.0629,-196.0887,-254.44,-271.5584211,-256.12585
1964,-151.2236,-200.68,-258.416,-275.5485714,-263.45595
