site,Latitude,Longitude,Elevation
"""JRI (Aristarain et al., 2004)""",-64.22,-57.68,1640.0
105 km,-67.433,93.383,1407.0
200 km,-68.25,94.08,1990.0
ABN_13/14_snowpit,-71.17,110.37335,2964.0
B31 3.43W,-75.58,-3.43,2680.0
B32 0.00667E,-75.0,-0.01,2892.0
B33 6.4983E,-75.17,6.5,3160.0
BER11C95_25,-79.61,-45.72433,886.0
Beethoven,-71.9,-74.6,580.0
BerknerR25 45.716W,-79.57,-45.72,890.0
Bouvet Island,-54.42,3.390833,350.0
Bruce Plateau,-66.038,-64.078,1975.5
Bryan coast,-74.496,-81.678,1177.0
CWA-A,-82.3671,-119.2855,950.0
CWA-D,-81.3723,-107.275,1930.0
D66 136.9352E,-68.94, 136.94
DF01,-77.37,39.7,3810.0
DFS10,-77.4,39.62,3800.0
DIR,-70.23,26.3349,450.0
DIV2010,-76.77,-101.74,1330.0
DIV2010_chem,-77.95,-95.96,1329.0
DML07,-75.58,3.43,2680.0
DT401,-79.02,77.0,3760.0
Derwael Ice Rise,-69.2,41.08,1214.0
Dyer Plateau,-70.68,-64.87,2002.0
EDC,-75.1,123.35,3233.0
EDC96,-75.1,123.35,3232.0
EDC_50y,-75.1,123.35,3233.0
EPICA DC,-75.1,123.35,3233.0
EPICA DomeC,-75.1,123.35,3233.0
Ekstroem B04,-70.6167,-8.3667,28.0
FB96DML01,-74.8583,-2.55,2817.0
FB96DML02,-74.9694,-3.92,3014.0
FB97DML03,-74.4914,1.9681,2843.0
FB97DML04,-74.4094,7.2181,3161.0
FB97DML05,-75.0039,0.0117,2882.0
FB97DML06,-75.0011,8.0089,3246.0
FB97DML07,-74.5914,-3.4394,2669.0
FB97DML08,-75.7547,3.2936,2962.0
FB97DML09,-75.9333,7.2217,3145.0
FB97DML10,-75.2167,11.35,3349.0
FB9802,-74.2083,-9.7472,1439.0
FB9803,-74.854667,-8.497,2600.0
FB9804,-75.250333,-6.0,2630.0
FB9805,-75.167333,-0.995,2840.0
FB9807,-74.997,0.036167,2880.0
FB9808,-74.750667,0.999833,2860.0
FB9809,-74.499167,1.960833,2843.0
FB9810,-74.667167,4.001667,2980.0
FB9811,-75.084,6.5,3160.0
FB9812,-75.250833,6.501667,3160.0
FB9813,-75.1669,5.0006,3100.0
FB9814,-75.083667,2.501,2970.0
FB9815,-74.9597,-1.5019,2840.0
FB9816,-75.0,-4.505,2740.0
FB9817,-75.000667,-6.498333,2680.0
FIS_BI,-70.4,-3.03,394.0
FIS_KC,-70.52,2.95,264.0
FIS_KM,-70.13,1.2,268.0
Ferrigno,-74.57,-86.9,1354.0
Fimbulisen s100,-70.2439,4.8,48.0
Fimbulisen s20,-70.2472,4.8183,63.0
GIP ic,-79.97,160.2,380.0
GIP icp-ms,-79.97,160.2,380.0
GV2 145.2631 E,-71.71, 145.26
GV5 158.5369 E,-71.89,158.54,2184.0
GV7 158.8624E,-70.68,158.86,1947.0
Gomez,-73.59,-70.36,1400.0
H15,-69.08,40.78,1050.0
H72 41.08333E,-70.25,26.34,450.0
Hercules Neve 165.4 E,-73.1,165.4,2960.0
IC-06,-81.05,-79.835861,750.0
ITASE-00-1,-79.3838,-111.24,1791.0
ITASE-00-2,-78.73,-111.497,1675.0
ITASE-00-3,-78.433,-111.9172,1742.0
ITASE-00-3_chem,-78.43,-115.917,1742.0
ITASE-00-4,-78.0829,-120.0764,1697.0
ITASE-00-5,-77.683,-123.995,1828.0
ITASE-01-1,-79.1597,-104.9672,1842.0
ITASE-01-2,-82.001,-110.0082,1746.0
ITASE-01-2_chem,-77.84,-102.91,1336.0
ITASE-01-3,-78.1201,-95.6463,1620.0
ITASE-01-4,-77.6116,-92.2483,1483.0
ITASE-01-5,-77.0593,-89.1376,1239.0
ITASE-01-6,-76.1,-89.0177,1228.0
ITASE-02-4,-86.5,-107.99,2586.0
ITASE-02-5,-88.0,-107.983,2745.0
ITASE-02-6,-89.93,144.3938,2808.0
ITASE-02-7,-88.9989,59.9744,3000.0
ITASE-03-1,-86.84,95.31,3124.0
ITASE-03-3,-82.08,101.96,3444.0
ITASE-99-1,-80.62,-122.63,1350.0
Jurassic,-74.3,-73.05,1139.0
LGB65 77.07472E,-71.85, 77.92
LGB69,-70.83,77.067,1850.0
Law Dome (2015),-66.77,112.807,1370.0
MES2012 ic,-77.52,167.6765,1600.0
MES2012 icp-ms,-77.52,167.6765,1600.0
MI0910,-65.55,100.785,500.0
Mount Johns,-79.92,-94.388361,2100.0
NFL-1,-77.09,95.37891,3760.0
NUS07-1,-73.72,7.98,3174.0
NUS07-2,-76.07,22.47,3582.0
NUS07-5,-78.65,35.63,3619.0
NUS07-7,-82.07,54.88,3725.0
NUS08-4,-82.82,18.9,2552.0
NUS08-5,-82.63,17.87,2554.0
NUS08-7,-74.88,1.6,2700.0
NVFL-1,-77.09,95.37891,3760.0
NVFL00,-76.7,102.16673,3530.0
PIG,-78.0,-96.0,1593.0
PIG2010,-77.96,-95.96,1590.0
PV-10,-72.81,79.934,2800.0
Palmer,-73.86,-65.46,1897.0
Plateau Remote,-84.0,43.0,3330.0
RICE,-79.36,161.64,560.0
RICE12-13pit,-79.36,-161.706,500.0
RIDS-A,-78.73,-116.33,1740.0
RIDS-B,-79.46,-118.05,1603.0
RIDS-C,-80.01,-119.43,1530.0
Rendezvous,-74.45,-78.1656,1006.0
Ritscherflya,-73.6,-12.43,700.0
SCH2,-79.55,-84.05,1059.0
SDM-94,-81.648077,-148.79,620.0
SHIC,-72.67,-99.63,474.0
SKBL,-74.85,-71.59,1419.0
SP01,-89.95,17.67,2835.0
SP04C5,-89.95,17.67,2835.0
SP04C6,-89.95,17.67,2835.0
SPOLE 0EW,-90.0,0.0,2850.0
SW-42,-78.74,105.59062,3590.0
SW-80,-79.01,104.46806,3590.0
Siple Station,-75.92,-84.25,1054.0
TA192A__Adelie_Land,-66.78,139.56,602.0
TD96,-72.48,159.06,2316.0
THW,-77.0,-121.2,2020.0
THW2010,-76.95,-121.22,2020.0
Talos Dome 159.07575E,-72.8,159.06,2316.0
TaylorDome,-77.81,158.72,2365.0
UP-C,-82.43911,-135.97195,525.0
VFL-1,-78.09,102.8,3570.0
VKT55,-78.45,106.84,3488.0
VLG,-77.33,162.5331,624.0
W10k,-66.75,112.83,1390.0
WAIS 2014,-79.46,-112.09,1759.0
WD05A 112.125W,-79.46,-112.09,1806.0
WD05Q 112.086W,-79.46,-112.09,1759.0
WDC05A,-79.46,-112.225,1759.0
WDC05Q,-79.46,-112.225,1759.0
WHG ic,-72.9,169.083,400.0
WHG icp-ms,-72.9,169.083,400.0
WP,-75.25,163.166,50.0
cDML,-71.33,11.583,1300.0
vk07,-78.45,106.84,3488.0
vk55,-78.45,106.84,3488.0
vrs-13 (vostok stack),-78.47,106.83,3488.0
