变量组合,范围,Level_0,重合站点数,有效站点数,ρ均值,ρ中位数,|ρ|>0.3比例(%)
accum ↔ d18O,总体,All,15,15,-0.001,-0.02,0.0
accum ↔ d18O,分簇,0,2,2,-0.12,-0.12,0.0
accum ↔ d18O,分簇,1,7,7,-0.035,-0.04,0.0
accum ↔ d18O,分簇,2,2,2,0.119,0.119,0.0
accum ↔ chem,总体,All,24,24,0.415,0.398,83.3
accum ↔ chem,分簇,0,7,7,0.353,0.378,85.7
accum ↔ chem,分簇,1,6,6,0.57,0.62,83.3
accum ↔ chem,分簇,2,2,2,0.184,0.184,50.0
d18O ↔ chem,总体,All,8,8,-0.008,-0.005,25.0
d18O ↔ chem,分簇,0,0,0,,,
d18O ↔ chem,分簇,1,1,1,-0.505,-0.505,100.0
d18O ↔ chem,分簇,2,2,2,-0.037,-0.037,0.0
